序	行	状态	四库字	四库卷	左锚	右锚
163	8213	NOMATCH		110下	承基绪，遭遇戹运，昃谦日	。惟岳降神，异人并出。
164	8237	NOMATCH		111	后妃不	忌，则子孙众多也。”其诗
165	8389	NOMATCH		112上	，但得一只舄焉。乃诏尚方	视，则四年中所赐尚书官属
166	8441	NOMATCH		112下	太守刘祗欲上言之，以檀檀	。□对曰：“方今外戚豪盛
167	8441	NOMATCH		112下	刘祗欲上言之，以檀檀□。	对曰：“方今外戚豪盛，阳
168	8512	NOMATCH		112下	‘诸梁时，西域胡来献香罽	带割玉刀，时悔不取也。’
169	8631	NOMATCH		114	自蚕茧，成于机杼，一丝[	]而累，以至于寸，累寸不
170	8680	NOMATCH		115	吹伎人。其俗淫，皆絜净自	，暮夜辄男女髃聚为倡乐。
171	8781	NOMATCH		116	艾。多赐缯布，邪毗	□。甘美酒食。推潭仆远。
172	8781	NOMATCH		116	。多赐缯布，邪毗□	。甘美酒食。推潭仆远。昌
173	8800	NOMATCH		117	没则妻后母，兄亡则纳厘嫂	，故国无鳏寡，种类繁炽。
174	8825	0.80		117	迷吾既杀傅育，狃(	)忕边利。章和元年，复与
175	8980	0.80	將弛	119	。令中郎将置安集掾史将	刑五十人，持兵弩随单于所
176	9186	NOVOL			，取欲谐耦十六日望，月朓	，晦当灭而已。又晦与合同
192	10274	NOVOL			请鲁民治之，及护几席嗣[	]履。后得瓮中素书，曰‘
193	10296	NOVOL			南	
197	10374	NOVOL			有三鬷亭。冤句有	枣城。成阳有尧陵、灵台，
200	10593	NOVOL			无出铁。定莋阐苏	
205	10798	NOVOL			。 沮阳潘永元十一年复。	
206	10799	NOVOL			广	
207	10838	NOVOL				邯
