唐代墓志汇编续集 PUA 悬置（2026-09-10）
套语定谳：E20F窀(437) E3AB楸(125) E3E3昊(44) E4C0/E4C1琅(132) E266阎(43)
其余 4192 处为志文俗字/泐字（无点校本可核），回退 □：

U+E238 ×8  …桂馥兰芬，著芳声於千里。惟君灵歧嶷，诞质淳和，业履清韶…
U+E380 ×8  …泣血无追。师徒姊妹等，揽涕潺，中情凄断。刊岷石以述德，…
U+E80B ×8  …荣望斯隆，有光威武之重，实允城之寄。方谓庆蔼延祉，耀金…
U+E2B4 ×8  …谛於灵台，会三空於意匠。岂图羲驭，先摧日观之峰；氵尔…
U+E21A ×8  …。惟君器玉凝华，赢金檀美，虚サ於性海，佩仁剑於心田。…
U+E374 ×8  …！呜呼哀战！夫人程氏，雍州＊县尉香政之次女。调露二年正…
U+E2BF ×8  …右翊卫，因患，敕放不仕。禁卫之一语，与善无徵；旷□□之…
U+E21B ×8  …山阳兮。会朝天子，执玉璜兮。升国老，锡金章兮。谁谓冥寞…
U+E7A9 ×8  …将暮。开元十七年六月八日，惟惟惚，奄殁于里，春秋七十有…
U+E463 ×8  …下省事须昌县开国伯赐紫金鱼袋撰府君讳藏元，于初神农之系…
U+E38A ×7  …，弃军宵遁，熊耳峰危，羊肠径，降吴不可，归蜀无路，顾骏…
U+E39C ×7  …，礼也。遂使鲸鳞一坠，无游渤之期；鹏翮既摧，罕有陵云之…
U+E07D ×7  …号於时，振嘉声於万古。举无遗，动必因机，智也；百战先呜…
U+E37C ×7  …弗违，冯相罢弥晕之占，穰祈无之请，乃抗表陈诚，求志林…
U+E268 ×7  …月。罗汉□身，□□□定，今乃毗，宗承先圣。建兹灵塔，记…
U+E42F ×7  …丸都之□，□□□之险。特垂纶，远加慰谕。仍授左武卫大将…
U+E7B8 ×7  …尚书□落纸之功。映后光前，{替}缨代袭，详诸简牍，可略…
U+E36C ×7  …嗤少和之未工；诣阙献珠，鄙握之重价。封越天旨，屡动宸衷…
U+E499 ×7  …首之原。呜呼哀哉！陇路兮玄远，悲风起兮白日寒。垂芳裕…
U+E3A9 ×7  …定人也。标华宗於桂薄，禀粹□；擅□蒂於芝田，承华琼。…
U+E4B7 ×7  …公表胤，微士疏，羽仪朝野，糠比山龙。如如璧，且卿且公…
U+E44F ×7  …律，阁下用杨修之敏，马上得阮之才。齐文宣帝构绪霸图，作…
U+E3E7 ×7  …贶。蕙抱欢兮摧残，翻空兮＊，虽变桑兮遽改，庶贞芳兮永…
U+E298 ×7  …友，酌□追朋，畅□阮之幽衿，巢由之雅趣。既而生涯无定，…
U+E14D ×7  …於亲也。姊以贞顺守节，爰开石之封；弟以廉直效官，亟绾铜…
U+E3FE ×7  …甫陟猿岩，预追随於辇毂；即泛是壑，仍迅骛於楼船。是翼鸾…
U+E1F7 ×7  …。⏎【志文】⏎唐故授恒州城县令董明府之墓志铭公讳满…
U+E2DE ×7  …傅；桂浦沦波，孤舟独在。加以亲之施，载洽宗姻；教子之方…
U+E203 ×7  …弈，组蝉联，备著缣缃，无繁闻。祖□，周承御大夫，隋右…
U+E2C3 ×7  …！夫人宝氏，礼部尚书、邓国公之第六女也。五陵望族，四姓…
U+E498 ×7  …斯。何期天道无亲，幽明□隔，以载初元年正月廿二日＊於私…
U+E4A7 ×7  …□□。其五。威恩攸著，吏人忄怀。竹马迎来，甘雨随去。既…
U+E421 ×7  …书舍人福嗣，生烈祖唐刑部郎中□，生列考故徐州萧县令宾。…
U+E3B8 ×7  …从风树之仪，敢□铭旌之识曰：哲士，允武允文，立身存节…
U+E7A4 ×7  …原礼也。嗣子采等，柴毁骨立，形血泣，占远日而俄届，号昊…
U+E0F2 ×6  …阳县北邙山千金乡安平里。玄扃故，九京长夕，翳翳神衢，永…
U+E46A ×6  …庶同金菊。其词曰以事：⏎灵崇基，氛氲庆族，服冕乘轩，…
U+E7CC ×6  …魏。力负拔山，势疑绝纽。君援枪而扫，奋格泽以销氛。战…
U+E143 ×6  …斯调；无怠无违，清篪允叶。恭幂之礼，中馈克修；遵奉帚之…
U+E180 ×6  …温恭，荣侔秋菊，华耀春松。氵池照彩，藻镜容，穹仓不吊…
U+E37E ×6  …俄泳。其二。双棺止奠，两挽移，丹旌飞卷，白骥迟留。日寒…
U+E416 ×6  …⏎唐故赵郡李处士墓志铭君讳，字玄节，赵郡高邑人也。若…
U+E242 ×6  …，腰带十围，辩耀碧，词警素。而西州石折，东岱神游，…
U+E35E ×6  …太守，迁州刺史，进爵为公；耀文於衮路，司鹤饪於台阶，量…
U+E3A4 ×6  …门以作固，疏玉宇以开基。将解根，攸资利器。公择先王之令…
U+E45A ×6  …。奉兽闱之列，夙兴匪懈；参鹤之流，晨夕无怠。方将永承景…
U+E42E ×6  …秘彩，玉度浮薰，毓粹清晖，柔景德，自长张氏，琴瑟斯和。…
U+E303 ×6  …铭并序公讳钦，字三良，京兆好人也。其先黄帝之後，陆终之…
U+E252 ×6  …。其四。⏎投旗夏□，拥兵汾，陷敌河渎，摧坚洛。黄巾…
U+E3D1 ×6  …长恶不悛。⏎奋而虐讠皮黎，寻戈而毒流支庶。主上情期…
U+E495 ×6  …帷幄，奇谋泉涌，威以凌敌，无小歼。惟君禀贶挺姿，应灵表…
U+E36B ×6  …关王化。若其河鲂宋鲤，涧藻溪。资惠气於柔明，发兰仪之清…
U+E7B6 ×6  …，哀毁将灭。窀穸云近，羸疹忄然。绝阴阳之拘忌，申攀号於…
U+E322 ×6  …致温扇之供。猥升粟之前规，怀於同气；愤尺布之往议，拂…
U+E28C ×6  …⏎大唐邓公之墓志公讳明，字君，瀛州平舒县人也。其先出自…
U+E41B ×6  …令仪，定州安喜人也。原夫玄禽羽，开有商之祚；白翰腾骧，…
U+E38C ×6  …，む帷西掩，龙需载饬。树阙尧，构坟岿嶷。千秋万岁，不…
U+E30B ×6  …比屋；龙川之，滞狱盈庭。君罔一飞，盘根载铄。秩满，授…
U+E269 ×6  …优断割。理剧旗亭之内，拨繁之中。任侠之党绝踪，□游之…
U+E014 ×6  …其利用，遂除左御史台监察御史行。时以为乌台得人。乘聪有…
U+E175 ×6  …分府为三州，授君之三子。子智，高州刺史；子智垡，恩州刺…
U+E440 ×5  …登仕，秉义怀仁，掷研从戎，飘校尉，身使弓马，性爱璋。…
U+E146 ×5  …地，石城失险，郏辱阝之境，金未宾。戎务须人，夺情起复太…
U+E1ED ×5  …，草含碧，蹊林总素。双羽如，遗茕若慕，贞石空沉，芳尘…
