清史稿 PUA 悬置（2026-09-10）：3299 处（236 码位）。无库内平行本，据「不猜不改」回退 □，待点校本核补。

U+E018 ×2  …≈菹卣忧福戮膳惭冢拔食！Ｆ浔子伸督淮磺澹匀…
U+E77C ×2  …务，尤竞竞於义利之辨。居惟一被，日两蔬食。食有馀，则以…
U+E4C6 ×2  …古文有奇气，著有广西涯乐府、古集、寄云楼集、褐玉堂集、…
U+E4CD ×2  …书食货志，而算书罕见，又玉鉴田之“”，虽见李籍九章音…
U+E4D8 ×2  …存亡。逾年，有樵入山，若有声，行见遗骼委於地，只履在…
U+E4DE ×2  …巴家土千总一、土把总一，管有鸡疏、卑溪疏、哈疏、白魁…
U+E4E9 ×2  …示以顺逆，早反正。时维祁弟维、维昬皆外出避难，维死…
U+E4EB ×2  …亡，请立故王维之子翁皇司维主国事，并迎其母妃回国。帝…
U+E789 ×1  …、益王思弮、辽王术雅、邓王器、钜野王寿圠、通山王蕴越、…
U+E78D ×1  …故明德化王硃慈业、石城王硃议陷大田，官军讨平之。丁丑，…
U+E014 ×1  …回匪陷怀远、神木。壬寅，白泥苗匪降。乙巳，以朝鲜请严边…
U+E7BB ×1  …铁路：京津，津榆，津保，津浦焉。青冲，繁，疲，难。府西…
U+E7C8 ×1  …气河，入额穆。东大沙、西北河并从之。旧设站二：自额穆…
U+E7D5 ×1  …其北美良川。东北：紫金，古三。涑水自绛县入，迳董泊，右…
U+E024 ×1  …岭。镇二：夏门、仁义。驿二：石、仁义。驿丞兼巡司驻仁义…
U+E7DF ×1  …出。西有溱水自泌阳入，俗名石河，又东曰吴砦，迳确山故城…
U+E7E0 ×1  …谷水，迳城北，古白渠在焉。西水，东赤水，俱北注之，又东…
U+E7E1 ×1  …，中贯境，有十八盘。有黄柏、厚轸子二汛。巡司驻袁家庄…
U+E4FC ×1  …四都，与南源会。迳洋山潭，合里溪。又东北，右得马岭溪、…
U+E7F0 ×1  …。东南：金匮、石门。东北：竹山。通川江即渠江，自东乡入…
U+E645 ×1  …、深青溪入。迤东高埔、离埔、洲屿、白屿。其南大岛二，东…
U+E577 ×1  …系属昆番所居。大港上源曰打马溪，出秀姑峦山，东流经治北…
U+E807 ×1  …，迳城东，南流，会清水河、南河、矣落河诸水，入石屏。李…
U+E812 ×1  …周千三百馀里，林木葱郁，水草茂，群兽聚以孳畜焉。至是举…
U+E521 ×1  …钦钦。陈纤缟兮，有壬林。击浮兮，弹硃琴。恪溥将兮，肃来…
U+E862 ×1  …有猿臂军中飞将。三解润銛锋，鹈初莹。镕堇锡，龙雀成双。…
U+E513 ×1  …鸟道穷兮构略彴。八解聚葱(艹)，俨龈齶。嵌峒，鬯寥廓…
U+E828 ×1  …八解聚葱(艹)，俨龈齶。嵌峒，鬯寥廓。蔽亏日月愁猱玃…
U+E403 ×1  …腴且肥，家鹅舒雁仍甘美。青章次之，信天缘，鹈鹕之类。二…
