魏书 PUA 悬置（2026-09-10）：293 处（102 码位）。无库内平行本，回退 □ 待点校本核补。

U+E1AE ×1  …鸢苤穑怀露扪椋殖晌茇柚铩Ｎ┨旒浚粘加蘅睢?…
U+E263 ×1  …露扪椋殖晌茇柚铩Ｎ┨旒浚粘加蘅睢?  ⏎　…
U+E3CC ×1  …扪椋殖晌茇柚铩Ｎ┨旒浚粘加蘅睢?  ⏎　　…
U+E149 ×1  …欲出外，寻为城人韩祖香、孙礻攻于州馆。游事窘，登楼慷慨…
U+E19D ×1  …昶以母为其国妾 ，宜如春秋荀对楚称外臣之礼。寻敕昶更与…
U+E230 ×1  …之门。如斯，则吉士盈朝，薪载焕矣。  ⏎　　诏付外…
U+E402 ×1  …亩，饥贫之家指为珠玉，遗秉滞遂，莫不宝惜。步骑万余，来…
U+E53F ×1  …千重以耸翠，横万里而扬波。远鼯吾与麏麝，走鳐鳖及龟鼍。…
U+E4F3 ×1  …城中，及敛迭举，高祖以所服衣充襚，亲自临视，撤乐去膳。…
U+E789 ×1  …之分，阊阖晨鼓而萧瑟，流火夕以摧颓，游气眇其高搴，辰宿…
U+E160 ×1  …万东伐，次于都渎涧。蒙逊自浩拒歆，战于怀城，为蒙逊所败…
U+E7B2 ×1  …其国，北船溯难河西上，至太氵河，沉船于水，南出陆行，渡…
U+E0F6 ×1  …  ⏎　　文德后自汉中入统陇，遂有阴平、武兴之地后为…
U+E84B ×1  …葱岭，东去龟兹千五百里，西去汗国千里，南去朱俱波八九百…
U+E57B ×1  …银、绫、锦、叠、毼、氍毹、毾、赤麞皮、及薰陆、郁金、苏…
U+E400 ×1  …，因乞朱画步挽一乘并幔褥，鞦必一副，伞扇各一枚，青曲盖…
U+E4B6 ×1  …州，诸将又大败之。时梁军政益，故累有负败之应。  …
U+E4B1 ×1  …，景遂举而济江，三吴大荒，道董流离者大半，淮表二十六州…
U+E0D7 ×1  …　癸未，诏三公衮冕八章，太常冕六章，用以陪荐。  ⏎…
U+E404 ×1  …未，恆州送马驹，肉尾长一尺，处不生毛。  ⏎　　正…
